SSC,HSC,College_Tier,CGPA,Coding_Languages_Known,DSA,Core_Subject_Knowledge,Internships,Projects,Communication_Level,LeetCode_Solved,CodeForces_Rating,Certificates,Hackathons,Aptitude_Test_Score,Placement
75.5,62.4,3,5.82,2,82.9,40.9,2,1,26.6,496,1154,4,2,27.0,Yes
70.9,67.8,3,5.82,2,3.7,89.4,1,2,14.9,374,1476,0,2,84.3,No
61.1,87.9,3,9.07,3,59.6,23.0,1,1,12.7,370,1612,3,1,31.3,No
56.0,50.7,3,8.33,3,23.0,21.3,1,5,86.5,475,1687,2,1,78.9,Yes
66.9,55.8,2,7.62,4,12.1,3.1,1,4,24.3,101,508,3,4,89.2,No
97.1,52.3,3,6.79,1,7.7,65.2,0,0,65.2,283,62,4,2,43.4,No
66.2,52.0,3,9.39,4,69.6,36.9,0,0,81.1,490,1479,4,1,91.0,Yes
75.9,92.8,3,6.96,1,34.0,86.4,0,2,61.4,83,213,4,0,37.7,Yes
85.2,85.2,2,9.08,3,72.5,47.3,1,3,86.0,350,630,3,4,96.4,Yes
68.2,73.7,2,7.2,3,6.5,96.8,0,5,39.2,293,8,4,5,8.9,Yes
98.6,54.9,1,6.88,3,31.5,18.6,1,2,95.6,293,1363,0,3,68.7,Yes
98.1,74.6,3,7.31,4,53.9,86.9,2,3,13.3,349,334,4,4,49.4,Yes
62.6,73.7,2,6.51,2,79.1,77.7,0,1,10.2,465,1311,1,3,38.8,No
74.9,58.7,2,8.74,2,31.9,77.1,1,5,65.9,391,1983,3,2,63.3,No
65.0,71.7,3,7.51,3,62.6,84.5,1,1,94.3,28,145,1,3,70.4,Yes
64.2,69.9,2,6.16,2,88.6,76.1,2,4,80.9,426,154,4,2,0.4,Yes
51.8,80.8,2,9.5,2,61.6,62.6,0,5,7.6,113,681,0,0,16.7,Yes
80.5,81.8,1,6.92,4,23.3,13.1,1,3,27.9,188,1733,2,3,71.3,Yes
75.1,52.3,3,7.72,1,2.4,3.3,2,4,93.0,231,431,5,4,66.6,Yes
52.6,68.7,2,9.53,3,87.0,92.1,2,0,25.3,240,721,5,2,96.6,Yes
63.9,81.3,3,8.12,3,2.1,61.7,1,3,78.1,218,137,4,4,76.1,Yes
95.4,75.2,2,5.58,4,87.5,79.7,1,2,82.5,469,1526,0,1,95.1,Yes
62.0,92.8,3,9.7,4,52.9,48.2,1,0,49.5,353,817,3,2,70.3,Yes
57.2,82.9,2,8.14,2,93.9,11.7,2,0,38.6,316,1518,1,3,29.8,Yes
74.5,58.1,2,6.67,3,79.9,12.5,1,2,45.0,25,1807,1,2,10.5,Yes
99.3,53.5,3,5.7,1,99.8,68.6,0,5,22.7,452,466,1,4,78.2,Yes
62.1,82.1,2,8.97,4,35.1,43.0,2,0,88.9,455,1615,3,0,64.4,No
83.6,51.3,1,8.1,1,76.7,20.1,1,3,45.1,390,118,5,2,4.8,No
88.1,79.3,1,7.67,1,40.2,49.2,1,4,88.2,4,1798,0,3,36.0,Yes
61.9,97.0,3,9.47,3,48.0,6.4,0,0,10.6,29,1302,3,1,95.7,No
86.4,78.8,2,8.94,3,62.8,58.2,1,3,98.8,113,1748,1,5,50.0,Yes
68.4,69.4,3,5.76,4,87.4,26.9,1,1,44.3,66,0,4,0,43.3,Yes
81.6,82.2,2,6.56,3,98.4,79.8,1,3,4.8,199,338,2,1,45.8,Yes
81.7,72.9,1,6.24,3,76.8,31.0,0,4,3.8,461,780,3,2,20.9,Yes
76.8,77.3,1,8.72,3,41.8,45.5,1,3,74.6,236,759,3,4,36.9,Yes
54.5,97.1,2,5.17,1,42.1,1.2,2,2,65.9,7,453,0,4,37.0,Yes
91.8,69.3,2,7.85,4,73.8,7.2,0,4,80.2,141,763,0,3,5.2,Yes
66.0,98.1,2,8.81,2,23.9,39.2,2,5,10.5,22,258,3,4,76.8,Yes
59.3,95.3,2,9.38,1,11.0,48.0,1,1,3.6,18,826,1,0,41.7,No
52.0,59.8,3,6.71,3,35.5,60.0,2,2,50.9,138,1605,2,4,82.2,No
79.5,53.5,2,9.11,1,28.7,29.2,1,5,38.8,138,958,0,3,85.0,No
83.9,55.0,2,5.55,3,29.6,69.5,1,3,46.2,394,36,1,5,21.2,No
50.8,50.9,3,9.23,3,23.4,86.0,1,4,99.2,487,843,4,2,65.7,Yes
75.6,54.7,2,5.64,1,4.2,78.0,2,1,97.1,186,54,0,2,47.2,No
61.3,84.2,2,6.99,4,1.8,4.0,1,2,94.2,214,1932,1,4,88.0,Yes
82.3,53.6,3,8.99,3,98.8,48.1,0,5,78.4,422,255,1,1,21.6,Yes
58.7,65.9,3,5.75,4,42.8,10.5,1,5,35.5,134,1415,2,2,67.8,No
84.5,92.2,1,6.15,2,38.4,24.2,2,1,41.2,78,1946,2,5,60.8,No
69.3,51.2,3,8.61,3,68.0,98.7,1,3,55.0,427,1652,4,4,29.5,Yes
96.8,90.7,2,8.6,4,21.8,14.2,1,1,83.1,23,1399,1,3,13.7,Yes
56.9,64.1,2,8.21,4,95.0,49.9,1,5,6.9,310,1679,5,5,65.2,Yes
67.1,55.9,2,8.47,2,78.6,61.8,2,0,42.4,281,1964,1,4,73.9,Yes
55.7,84.8,3,7.71,4,8.9,70.2,0,2,8.3,173,1243,2,5,31.6,Yes
96.2,81.4,2,6.26,4,41.8,56.0,1,1,51.5,158,1118,5,2,64.5,Yes
93.9,93.9,2,6.73,2,87.9,1.0,0,5,89.9,386,1256,0,3,39.5,Yes
62.9,86.8,2,5.91,3,94.5,32.6,0,3,78.2,43,1065,0,4,71.3,Yes
83.0,90.2,2,9.54,4,46.7,51.8,1,5,22.8,118,1270,3,0,19.9,Yes
90.9,64.1,1,7.92,4,61.3,8.8,1,3,97.6,366,900,2,3,89.0,Yes
77.8,58.9,1,7.0,4,16.7,35.1,1,1,66.7,274,437,3,0,28.7,Yes
76.5,87.5,1,7.31,1,99.1,3.3,1,3,1.0,64,240,5,5,36.8,No
62.1,90.3,1,9.74,2,23.2,7.9,1,4,25.5,441,137,2,1,5.8,Yes
54.7,99.5,1,5.77,1,94.3,39.7,0,4,26.1,197,527,4,3,11.2,Yes
94.9,70.6,2,7.93,2,65.0,13.3,1,4,6.9,414,92,1,5,51.6,Yes
95.0,68.6,1,7.53,3,60.8,56.8,0,0,96.0,394,1134,4,0,26.8,No
81.7,88.8,2,8.06,3,51.3,68.9,0,1,47.8,312,568,5,2,83.5,Yes
67.0,67.0,3,5.09,4,23.1,80.1,1,5,89.6,247,1649,2,2,1.5,Yes
67.5,96.5,2,9.36,2,17.7,20.0,1,5,32.2,490,148,5,1,37.9,Yes
86.3,92.9,3,9.66,3,22.0,16.7,1,0,12.5,72,453,1,3,33.7,Yes
94.9,71.4,1,7.83,2,18.6,10.5,1,3,47.4,363,1460,0,3,1.9,Yes
94.4,87.5,1,8.48,3,78.0,63.6,1,0,11.4,96,1198,0,3,12.4,No
89.0,87.7,1,9.61,1,35.0,70.6,2,3,48.6,169,129,5,5,41.4,Yes
